5031-2233-4388-0682,802,11,2025,Master ,cgiacomucciqf@nsu.edu
5550-5460-0617-4004,697,3,2029,Master ,galldridge4x@nsu.edu
5419-0905-3558-0540,849,6,2030,Master ,msalvatore3m@nsu.edu
5245-6701-8180-6247,789,1,2027,Master ,pnetley4n@nsu.edu
5056-6156-7562-3421,925,7,2029,Master ,nscougallba@nsu.edu
5631-4760-0263-3883,117,7,2028,Master ,lkopeciu@nsu.edu
5574-1926-2512-5446,27,6,2028,Master ,kyabsleyln@nsu.edu
5368-3725-1968-1500,739,7,2029,Master ,ogajownikly@nsu.edu
5377-8247-5159-2201,544,12,2031,Master ,hmathivet8l@nsu.edu
5280-8979-7289-7714,668,11,2032,Master ,geakina0@nsu.edu
5484-9857-3178-4009,941,8,2031,Master ,dstricklandma@nsu.edu
5632-5232-1034-1671,723,10,2029,Master ,mmcterry83@nsu.edu
5680-4280-2395-6245,855,3,2032,Master ,cthumann4h@nsu.edu
5865-4094-9306-8958,731,11,2023,Master ,gspringettim@nsu.edu
5287-1629-3504-2097,276,6,2023,Master ,qmawbyqd@nsu.edu
5287-8848-9539-2434,421,8,2030,Master ,ahadlee1p@nsu.edu
5351-7119-3683-1149,669,3,2024,Master ,gtabbk7@nsu.edu
5678-1373-8697-8650,329,12,2025,Master ,ewhiffenoo@nsu.edu
5875-0993-8092-1827,34,11,2027,Master ,dbleasbyq3@nsu.edu
5130-8598-4809-1805,766,11,2025,Master ,dstryde3k@nsu.edu
5425-0527-4559-8498,834,2,2032,Master ,krelfeam@nsu.edu
5771-8710-0557-7664,335,4,2028,Master ,ltrippie@nsu.edu
5235-3212-3647-2734,693,1,2028,Master ,agabbitasns@nsu.edu
5689-9195-2204-9805,607,5,2025,Master ,akittemancq@nsu.edu
5233-8621-0846-1878,875,12,2031,Master ,gsallye2@nsu.edu
5154-8345-3282-4549,985,3,2030,Master ,lchaperlingfk@nsu.edu
5657-7989-9810-8873,675,10,2029,Master ,fjanciklu@nsu.edu
5609-4619-5730-6549,372,6,2032,Master ,ltrenfieldnt@nsu.edu
5526-8771-3448-7102,197,4,2027,Master ,lblaxill3s@nsu.edu
5408-7931-6477-7366,607,11,2032,Master ,dshuttlewood82@nsu.edu
5510-0836-4699-3424,976,5,2030,Master ,kcoughlan1f@nsu.edu
5868-9554-6361-5235,734,8,2029,Master ,ahaxellil@nsu.edu
5995-4128-5461-0198,270,11,2032,Master ,rstanelandj2@nsu.edu
5708-5658-2515-2614,576,12,2027,Master ,smasselin90@nsu.edu
5529-7957-0332-7736,363,2,2029,Master ,cpetracchiqr@nsu.edu
5056-5723-1651-3454,512,5,2029,Master ,kmerner5m@nsu.edu
5834-5016-4290-6697,451,4,2024,Master ,odilke64@nsu.edu
5455-2628-7626-6549,246,8,2031,Master ,kgedney5c@nsu.edu
5272-7813-6844-5555,661,1,2029,Master ,tandino92@nsu.edu
5148-7899-6703-3092,850,10,2031,Master ,ewithers9j@nsu.edu
5968-9091-5700-1726,239,8,2029,Master ,jboultwoodre@nsu.edu
