89,nrideoutmi@nsu.edu,315,dvolettb@nsu.edu,10/26/21,3,45
172,nrideoutmi@nsu.edu,270,arubertelli0@nsu.edu,7/31/21,3,360
990,ndutchburnel@nsu.edu,317,tdoveston1@nsu.edu,2/26/22,3,105
687,wlaurancegt@nsu.edu,91,dcavilla7@nsu.edu,11/27/21,2,240
529,wlaurancegt@nsu.edu,124,fenrrico4@nsu.edu,4/10/21,4,4400
54,wlaurancegt@nsu.edu,225,alemar2@nsu.edu,5/1/21,1,120
315,rdichee@adobe.com,6,igetley3@nsu.edu,3/31/21,2,70
737,dmccritchiej3@nsu.edu,109,fenrrico4@nsu.edu,5/24/21,2,30
757,ghalvorsen95@nsu.edu,106,nmiddisj@nsu.edu,1/14/22,4,360
902,ghalvorsen95@nsu.edu,192,eedgell5@nsu.edu,12/24/21,4,440
391,predittjv@nsu.edu,251,fbehling6@nsu.edu,3/15/21,1,90
303,dnaughton9f@nsu.edu,260,dcavilla7@nsu.edu,11/12/21,2,2200
838,rpointn@globo.com,375,dsinkinson8@nsu.edu,2/1/22,4,60
72,wspadelli8j@nsu.edu,29,fbehling6@nsu.edu,9/7/21,1,50
416,wspadelli8j@nsu.edu,355,esaltrese9@nsu.edu,5/26/21,1,90
848,gdowtry4j@nsu.edu,292,rgurnera@nsu.edu,1/17/22,1,1100
755,clelievre1q@spiegel.de,364,dvolettb@nsu.edu,4/28/21,4,440
931,jspraggon8f@nsu.edu,76,dmcguggyc@nsu.edu,3/4/21,1,35
600,jkasman1i@histats.com,285,agirodond@nsu.edu,12/10/21,4,80
60,spinwillhg@nsu.edu,45,wvanellie@nsu.edu,7/8/21,3,105
5,cmaxted8c@nsu.edu,65,ctowllf@nsu.edu,6/25/21,2,1700
915,kfeeney30@nsu.edu,215,ageillg@nsu.edu,3/21/21,3,150
382,dcordeniw@nsu.edu,164,ibossinghamh@nsu.edu,2/16/22,3,330
949,cosgar8u@nsu.edu,185,mkiernani@nsu.edu,3/15/21,1,15
591,ldickinsbh@nsu.edu,327,nmiddisj@nsu.edu,6/11/21,2,40
952,bdeavenell7o@nsu.edu,399,amcquaidek@nsu.edu,10/7/21,4,360
